X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
2,13,8,7,0,35,27,21,17,38,55,82,64
13,8,7,0,35,27,21,17,38,55,82,60,65
8,7,0,35,27,21,17,38,55,82,60,81,106
7,0,35,27,21,17,38,55,82,60,81,64,105
0,35,27,21,17,38,55,82,60,81,64,65,103
35,27,21,17,38,55,82,60,81,64,65,106,153
27,21,17,38,55,82,60,81,64,65,106,105,109
21,17,38,55,82,60,81,64,65,106,105,103,130
17,38,55,82,60,81,64,65,106,105,103,153,129
38,55,82,60,81,64,65,106,105,103,153,109,114
55,82,60,81,64,65,106,105,103,153,109,130,149
82,60,81,64,65,106,105,103,153,109,130,129,113
60,81,64,65,106,105,103,153,109,130,129,114,196
81,64,65,106,105,103,153,109,130,129,114,149,106
64,65,106,105,103,153,109,130,129,114,149,113,181
65,106,105,103,153,109,130,129,114,149,113,196,218
106,105,103,153,109,130,129,114,149,113,196,106,247
105,103,153,109,130,129,114,149,113,196,106,181,218
103,153,109,130,129,114,149,113,196,106,181,218,337
153,109,130,129,114,149,113,196,106,181,218,247,219
109,130,129,114,149,113,196,106,181,218,247,218,330
130,129,114,149,113,196,106,181,218,247,218,337,399
129,114,149,113,196,106,181,218,247,218,337,219,316
114,149,113,196,106,181,218,247,218,337,219,330,282
149,113,196,106,181,218,247,218,337,219,330,399,297
113,196,106,181,218,247,218,337,219,330,399,316,380
196,106,181,218,247,218,337,219,330,399,316,282,407
106,181,218,247,218,337,219,330,399,316,282,297,325
181,218,247,218,337,219,330,399,316,282,297,380,327
218,247,218,337,219,330,399,316,282,297,380,407,185
247,218,337,219,330,399,316,282,297,380,407,325,375
218,337,219,330,399,316,282,297,380,407,325,327,283
337,219,330,399,316,282,297,380,407,325,327,185,357
219,330,399,316,282,297,380,407,325,327,185,375,436
330,399,316,282,297,380,407,325,327,185,375,283,396
399,316,282,297,380,407,325,327,185,375,283,357,275
316,282,297,380,407,325,327,185,375,283,357,436,214
282,297,380,407,325,327,185,375,283,357,436,396,415
297,380,407,325,327,185,375,283,357,436,396,275,260
380,407,325,327,185,375,283,357,436,396,275,214,347
407,325,327,185,375,283,357,436,396,275,214,415,433
325,327,185,375,283,357,436,396,275,214,415,260,292
327,185,375,283,357,436,396,275,214,415,260,347,349
185,375,283,357,436,396,275,214,415,260,347,433,395
375,283,357,436,396,275,214,415,260,347,433,292,484
283,357,436,396,275,214,415,260,347,433,292,349,367
357,436,396,275,214,415,260,347,433,292,349,395,338
436,396,275,214,415,260,347,433,292,349,395,484,336
396,275,214,415,260,347,433,292,349,395,484,367,533
275,214,415,260,347,433,292,349,395,484,367,338,387
214,415,260,347,433,292,349,395,484,367,338,336,233
415,260,347,433,292,349,395,484,367,338,336,533,484
260,347,433,292,349,395,484,367,338,336,533,387,689
347,433,292,349,395,484,367,338,336,533,387,233,568
433,292,349,395,484,367,338,336,533,387,233,484,490
292,349,395,484,367,338,336,533,387,233,484,689,529
349,395,484,367,338,336,533,387,233,484,689,568,489
395,484,367,338,336,533,387,233,484,689,568,490,496
484,367,338,336,533,387,233,484,689,568,490,529,486
367,338,336,533,387,233,484,689,568,490,529,489,693
338,336,533,387,233,484,689,568,490,529,489,496,973
336,533,387,233,484,689,568,490,529,489,496,486,634
533,387,233,484,689,568,490,529,489,496,486,693,949
387,233,484,689,568,490,529,489,496,486,693,973,526
233,484,689,568,490,529,489,496,486,693,973,634,479
484,689,568,490,529,489,496,486,693,973,634,949,415
689,568,490,529,489,496,486,693,973,634,949,526,686
568,490,529,489,496,486,693,973,634,949,526,479,687
490,529,489,496,486,693,973,634,949,526,479,415,678
529,489,496,486,693,973,634,949,526,479,415,686,557
489,496,486,693,973,634,949,526,479,415,686,687,700
496,486,693,973,634,949,526,479,415,686,687,678,467
486,693,973,634,949,526,479,415,686,687,678,557,609
693,973,634,949,526,479,415,686,687,678,557,700,684
973,634,949,526,479,415,686,687,678,557,700,467,585
634,949,526,479,415,686,687,678,557,700,467,609,703
949,526,479,415,686,687,678,557,700,467,609,684,993
526,479,415,686,687,678,557,700,467,609,684,585,672
479,415,686,687,678,557,700,467,609,684,585,703,847
415,686,687,678,557,700,467,609,684,585,703,993,1042
686,687,678,557,700,467,609,684,585,703,993,672,1241
687,678,557,700,467,609,684,585,703,993,672,847,979
678,557,700,467,609,684,585,703,993,672,847,1042,1111
557,700,467,609,684,585,703,993,672,847,1042,1241,1014
700,467,609,684,585,703,993,672,847,1042,1241,979,857
467,609,684,585,703,993,672,847,1042,1241,979,1111,1017
609,684,585,703,993,672,847,1042,1241,979,1111,1014,1106
684,585,703,993,672,847,1042,1241,979,1111,1014,857,1031
585,703,993,672,847,1042,1241,979,1111,1014,857,1017,1331
703,993,672,847,1042,1241,979,1111,1014,857,1017,1106,1041
993,672,847,1042,1241,979,1111,1014,857,1017,1106,1031,1226
672,847,1042,1241,979,1111,1014,857,1017,1106,1031,1331,862
847,1042,1241,979,1111,1014,857,1017,1106,1031,1331,1041,954
1042,1241,979,1111,1014,857,1017,1106,1031,1331,1041,1226,1051
1241,979,1111,1014,857,1017,1106,1031,1331,1041,1226,862,1113
979,1111,1014,857,1017,1106,1031,1331,1041,1226,862,954,1178
1111,1014,857,1017,1106,1031,1331,1041,1226,862,954,1051,1240
1014,857,1017,1106,1031,1331,1041,1226,862,954,1051,1113,1385
857,1017,1106,1031,1331,1041,1226,862,954,1051,1113,1178,1198
1017,1106,1031,1331,1041,1226,862,954,1051,1113,1178,1240,1082
1106,1031,1331,1041,1226,862,954,1051,1113,1178,1240,1385,1293
1031,1331,1041,1226,862,954,1051,1113,1178,1240,1385,1198,1385
1331,1041,1226,862,954,1051,1113,1178,1240,1385,1198,1082,1724
1041,1226,862,954,1051,1113,1178,1240,1385,1198,1082,1293,1301
1226,862,954,1051,1113,1178,1240,1385,1198,1082,1293,1385,1447
862,954,1051,1113,1178,1240,1385,1198,1082,1293,1385,1724,1607
954,1051,1113,1178,1240,1385,1198,1082,1293,1385,1724,1301,1209
1051,1113,1178,1240,1385,1198,1082,1293,1385,1724,1301,1447,1268
1113,1178,1240,1385,1198,1082,1293,1385,1724,1301,1447,1607,1853
1178,1240,1385,1198,1082,1293,1385,1724,1301,1447,1607,1209,2657
1240,1385,1198,1082,1293,1385,1724,1301,1447,1607,1209,1268,1611
